name,review,review_tags,target,가성비,귀여운,넓은,단체,만족,모던,분위기,비주얼,아늑,위생,응대,이색음식,이색테마,클래식,혼자
금성회관 합정본점,고기도 구워주시고 친절도 하시고 맛도 최고입니다.,"인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 가성비가 좋아요, 매장이 청결해요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
금성회관 합정본점,"가게 인기가 좋아서 그런지 가게가 바빴는데 직원분들 저너무 친절하시구 초벌 도와주신 거 너무,,, 맛있어요 ,,,.고기 잘 못굽는데 정말 맛좋게 즐겼습니다,,, 이벤트 설명도 친절하게 안내해주셨어요.또 올게요","매장이 청결해요, 친절해요, 인테리어가 멋져요, 재료가 신선해요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
금성회관 합정본점,공간도 깔끔하고 맛있습니다.,"고기 질이 좋아요, 음식이 맛있어요, 가성비가 좋아요, 재료가 신선해요",['위생'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
금성회관 합정본점,웨이팅은 했지만 깔끔하고 송년모임 하기 좋은것같아요 다음에 올때는 6시전에 좀 일찍 와야겟어요 ,특별한 메뉴가 있어요,"['위생', '단체']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
금성회관 합정본점,직원분들이 친절하고 좋아용.리뷰만 보고 방문했는데 이렇게 분위기 좋은 고깃집은 첨이에여 합정 오신 다면 금성회관 추천.,"친절해요, 매장이 청결해요, 인테리어가 멋져요","['응대', '분위기']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
금성회관 합정본점,너무 맛있어요.직원분들도 친절하시고 식사가 덕분에 즐거웠습니다.그리고 육회 꼭 드세요.,"친절해요, 매장이 청결해요, 화장실이 깨끗해요, 음식이 맛있어요, 가성비가 좋아요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
금성회관 합정본점,생갈비 굳굳.사장님 완전 친절하시고 설명도 자세하게 잘해주세요,"매장이 청결해요, 친절해요, 음식이 맛있어요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
교다이야,사누끼 우동이 아주 일품입니다.재방문 의사 100.맛있습니다.추천,"매장이 청결해요, 특별한 메뉴가 있어요, 음식이 맛있어요",['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
교다이야,"직원분도 친절하시고, 음식이 너무 맛있어요","혼밥하기 좋아요, 친절해요, 음식이 맛있어요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
교다이야,"면발이 살아서 입안에서 탱글탱글 움직여요 새우튀김도 존맛 온우동도 너무너무 맛있어서 담엔 이거 먹으려구여 계란과의 조합이 굿 혼밥하는 분들도 많더라구여, 회전율이 빠른 편","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 특별한 메뉴가 있어요, 재료가 신선해요",['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
교다이야,사장님이 친절하세요 냉우동 여러곳에서 먹어봤는데 개인적으로 웨이팅해서 먹을 정도의 맛은 아니었어요.평범하게 맛있습니다,친절해요,['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
교다이야,말로만 듣던 교다이야 영접.양 많고 정성스러운 우동 요리 한 끼.,,['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
교다이야,1년 전부터 찜해두고 정말 가고싶었던 곳.찍어먹는 우동세트 주문했는데 맛과 구성 모두 훌륭했음.직원 분들도 매우 친절했으나 홀 매니저분은 그냥 쏘쏘했음 너무 맛있어서 재방문 할거예요,,"['만족', '응대']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
합정옥,세 번 방문해서 다양하게 먹어봤는데 두루 맛이 좋습니다.곰탕은 물론 속대국도 시원합니다.기본적으로 곰탕집 답게 고기가 좋아서 수육무침도 맛있고 궁중전의 육전도 맛있습니다.육전만 따로 있어도 좋을 것 같습니다.국밥집에서 생맥주를 파는 게 특이합니다.전체적으로 깔끔하고 김치도 개인 그릇에 먹으며 접객은 담백합니다.다양한 연령대가 방문하며 가끔 왁자지껄해도 시장통 느낌 까지는 가지 않습니다.화장실도 말짱하고 입지도 좋아 자주 방문할 것 같습니다.,"매장이 청결해요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 단체모임 하기 좋아요","['만족', '위생']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
합정옥,괜히 맛집으로 소문난게 아닌듯요 직원분들도 엄청 친절하심 ,"음식이 맛있어요, 친절해요, 단체모임 하기 좋아요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
합정옥,항상 와도 너무 깔끔하고 좋네요 다른 곳이랑 다르네요 다른 곳 놀러갈때 포장해가도 좋아해요 완전 강추요,"단체모임 하기 좋아요, 혼밥하기 좋아요, 음식이 맛있어요, 친절해요, 주차하기 편해요","['위생', '넓은', '만족']",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
합정옥,"곰탕의 정직한 맛이라고 해야 될까요.재료 본연의 맛을 느낄수 있는 곰탕입니다.자극적이지 않아서 처음엔 무슨맛이지 하지만, 먹을수록, 또 먹고나면 참맛을 아실수 있어요 직원분들도 친절합니다.","매장이 청결해요, 친절해요, 음식이 맛있어요, 재료가 신선해요","['만족', '응대']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
합정옥,역시 맛집입니다.재방문의사 100입니다.,,['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
합정옥,남자알바생분 짱 친절하고 음식도 맛나용 ,"친절해요, 매장이 청결해요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
합정옥,장소도 넓고 음식도 맛났어요 서비스도 좋았구요 잘 먹었습니다,,"['넓은', '응대']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
합정옥,먹고나면 건강해지는 늘 밝고 친절해요,,['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
합정옥,"내포 듬뿍, 국물도 맛있고, 가격도 좋아요 전반적으로 곰탕집의 장점을 두루 갖춘 집.",,"['가성비', '만족']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
스파카 나폴리,분위기 굿.친절도 굿.,"음식이 맛있어요, 재료가 신선해요, 비싼 만큼 가치있어요, 현지 맛에 가까워요","['분위기', '응대']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
스파카 나폴리,마르게리따 맛있었어요 테이블 회전이 빠른것같아요,"인테리어가 멋져요, 재료가 신선해요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
스파카 나폴리,대존맛.친구들이랑 큰 기대없이 갔다가 다들 먹기만 하다가 나왔어요.그전에 밥먹고 2차로 간거라 2판 너무 많지 않을까.했는데 한 판만 했으면 싸움났을뻔.다음에 또 갈겁니다.,"음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요",['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
스파카 나폴리,정통 나폴리 피자를 느낄 수 있는 홍대권 최고의 피자집입니다.오랜 단골인데 앞으로도 변치않는 이 최고의 맛을 맛보고 싶습니다.잘 먹고 갑니다 ,"특별한 날 가기 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요, 재료가 신선해요, 인테리어가 멋져요",['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
스파카 나폴리,여기 피자 진짜 맛있음.,,['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
스파카 나폴리,잘먹었습니다.로제파스타는 치즈맛이 좀더 강한 로제소스였어요.친절하고 센스있는 직원분들덕분에 기분 좋게 먹고 나왔어요.,"음식이 맛있어요, 친절해요",['응대'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
스파카 나폴리,웨이팅팀이많지만 회전율이좋아 빨리들어간다.좁아서 사이사이로 점원들이 지나다니고 먹고있는데 자꾸 툭툭부딪힌다.포스 기계앞자리는 참 번잡스럽고 정신없다.근데 피자맛은너무좋다.디아볼로 짱.풍미가 그득그득하다.빵은 쫄깃하지만 부담스럽게 질기지않고 부드러운편이다.피자에 들어가는 고기를 뭐라 칭해야하는지 모르겠는데 그게 짭쪼롬하면서 엄청 맛있다.느끼해질만하면 매콤한 소스가 뒤에 올라온다.재방문 각이다,,['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
미필담,강추강추강추.나이 지긋한 부모니모시고 갔었는데.오픈런 실패로 잠시 대기하고 들어갔는데.아깝지않아요.너무너무 맛있고 깔끔 그 자체.무엇보다 조미료맛 싫어하고 짠거 싫어하는데 완전 건강한 맛이에요 특히 비지.넘나 감동,"음식이 맛있어요, 가성비가 좋아요, 특별한 메뉴가 있어요, 친절해요",['만족'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
이리에라멘,도미로 만든 소금 라멘.시그니처 메뉴 맛있네요.와사비밥 꼭 시켜드세요.,"친절해요, 매장이 청결해요, 음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요",['이색음식'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
이리에라멘,혈 중 오메가농도 떨어져 있던차 오늘 이리에에서 도미시오를 한다는 소식에 마침 전날 술을 오지게 퍼먹고 해장메뉴로 당선 되어 버선발로 달려갔읍니다 아.참 증말 오늘은 역대급으로 진하고 맛있었어요.가라아게와 와사비밥까지 싹 다 털어버린 처참하고 잔혹한 전투식사 후 잔해의 현장 사진 남기고 저는 이만.사랑해요 이리에,"음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요, 화장실이 깨끗해요","['이색음식', '만족']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
이리에라멘,몰랐는데 안쪽 계신분이 엄청 친절하시네요 아부라소바도 특색있으면서 맛있었습니다 도미시오는 먹어봤는데 네오시오가 제 취향에 더 잘 맞았구요 챠슈도 맛있고 스프가 시원하고 좋았네요,"음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 친절해요, 혼밥하기 좋아요","['응대', '이색음식']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
이리에라멘,음.도미시오는 비려요.비린거 잘 못먹는사람인데 비려서 국물한입먹고 입도안댐.돈코츠미소는 걸쭉해요.그리고 라멘에 이렇게 채소많이들어간거 처음봄.이건 맛있게먹었네요 ,"특별한 메뉴가 있어요, 혼밥하기 좋아요",['이색음식'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
